25-09-2019 12:19:50.176 [restartedMain] INFO  c.c.t.ResourceTrackerApplication.logStarting - Starting ResourceTrackerApplication on lin37001245 with PID 8456 (C:\Users\dreddym\Documents\workspace-spring-tool-suite-4-4.3.1.RELEASE\ResourceTracker\target\classes started by dreddym in C:\Users\dreddym\Documents\workspace-spring-tool-suite-4-4.3.1.RELEASE\ResourceTracker)
25-09-2019 12:19:50.184 [restartedMain] DEBUG c.c.t.ResourceTrackerApplication.logStarting - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
25-09-2019 12:19:50.186 [restartedMain] INFO  c.c.t.ResourceTrackerApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
25-09-2019 12:19:50.247 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
25-09-2019 12:19:50.247 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
25-09-2019 12:19:51.321 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data repositories in DEFAULT mode.
25-09-2019 12:19:51.367 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 43ms. Found 1 repository interfaces.
25-09-2019 12:19:51.658 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$86e3cbe2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
25-09-2019 12:19:51.697 [restartedMain] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping.afterPropertiesSet - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
25-09-2019 12:19:51.700 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$61cc5415] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
25-09-2019 12:19:52.107 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 9000 (http)
25-09-2019 12:19:52.124 [restartedMain] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
25-09-2019 12:19:52.125 [restartedMain] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.21]
25-09-2019 12:19:52.248 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
25-09-2019 12:19:52.249 [restartedMain] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2002 ms
25-09-2019 12:19:53.140 [restartedMain] INFO  org.mongodb.driver.cluster.info - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
25-09-2019 12:19:53.141 [restartedMain] INFO  org.mongodb.driver.cluster.info - Adding discovered server localhost:27017 to client view of cluster
25-09-2019 12:19:53.197 [cluster-ClusterId{value='5d8b0e116e2de12108ccc38e', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:1, serverValue:8}] to localhost:27017
25-09-2019 12:19:53.201 [cluster-ClusterId{value='5d8b0e116e2de12108ccc38e', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster.info - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 0, 10]}, minWireVersion=0, maxWireVersion=7, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3017300}
25-09-2019 12:19:53.202 [cluster-ClusterId{value='5d8b0e116e2de12108ccc38e', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster.info - Discovered cluster type of STANDALONE
25-09-2019 12:19:53.404 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
25-09-2019 12:19:53.411 [restartedMain] WARN  o.s.d.m.c.m.BasicMongoPersistentProperty.<init> - Customizing field name for id property not allowed! Custom name will not be considered!
25-09-2019 12:19:54.488 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@765c263c, org.springframework.security.web.context.SecurityContextPersistenceFilter@62da580b, org.springframework.security.web.header.HeaderWriterFilter@703f8ef9, org.springframework.security.web.authentication.logout.LogoutFilter@6ab2b92d, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@79ad50f8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@11c0b568, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1400afcb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5ef71813, org.springframework.security.web.session.SessionManagementFilter@24af9259, org.springframework.security.web.access.ExceptionTranslationFilter@314214b6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@531c8711]
25-09-2019 12:19:54.635 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
25-09-2019 12:19:54.971 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper.start - Context refreshed
25-09-2019 12:19:54.985 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper.start - Found 1 custom documentation plugin(s)
25-09-2019 12:19:54.994 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner.scan - Scanning for api listing references
25-09-2019 12:19:55.264 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 9000 (http) with context path ''
25-09-2019 12:19:55.266 [restartedMain] INFO  c.c.t.ResourceTrackerApplication.logStarted - Started ResourceTrackerApplication in 5.348 seconds (JVM running for 6.476)
25-09-2019 12:20:13.322 [http-nio-9000-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
25-09-2019 12:20:13.323 [http-nio-9000-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
25-09-2019 12:20:13.351 [http-nio-9000-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 28 ms
25-09-2019 17:31:14.111 [RMI TCP Connection(515)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin.shutdown - Application shutdown requested.
